mission,mission_id,champion,champion_id,verdict,proof_adjusted_alpha,fresh_correct_rate,evidence_coverage,authority_created,candidate_count
Portfolio Building Operations,building_operations,Deterministic Rules,rules,RETAIN_OR_REPAIR_REFERENCE,-1.6209666666666667,0.7,0.48333333333333334,False,10
Contract and Covenant Evidence,contract_evidence,Deterministic Rules,rules,RETAIN_OR_REPAIR_REFERENCE,-0.3283,1.0,0.7777777777777778,False,11
Grid Storage Resilience,grid_resilience,Behaviour Cloning,behavior_clone,SPECIALIST_ASI_GATE_SIMULATION_PASS,0.8309412987679434,1.0,1.0,False,10
Invoice Integrity,invoice_integrity,Deterministic Rules,rules,RETAIN_OR_REPAIR_REFERENCE,-0.37196666666666656,0.9666666666666667,1.0,False,10
Proof-Capital Mission Alpha Planning,mission_alpha_planning,Behaviour Cloning,behavior_clone,SPECIALIST_ASI_GATE_SIMULATION_PASS,7.322974100529058,1.0,0.6761904761904761,False,10
Verified Software Self-Play,software_selfplay,Behaviour Cloning,behavior_clone,SPECIALIST_ASI_GATE_SIMULATION_PASS,0.739635196601029,1.0,0.6916666666666667,False,12
